"provider_id","urgeo","beds","resident_to_bed_ratio","dshpct","mcr_pct","residents","dshcat","bed_cat","mcrcat"
"300001","RURAL","174","0.1713","0.11963","0.4621","30","1","2","2"
"521327",NA,NA,NA,NA,NA,NA,NA,NA,NA
"521347",NA,NA,NA,NA,NA,NA,NA,NA,NA
"530032","RURAL","32","0","0.24372","0.3752","0","1","1","2"
"670079","LURBAN","106","0","0.0351","0.4423","0","1","2","2"
"390266","OURBAN","88","0","0.13427","0.3818","0","1","1","2"
"251331",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50393","LURBAN","199","0.0959","0.38498","0.3043","19","2","2","2"
"670094","RURAL","10","0","0",NA,"0","1","1",NA
"161304",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360096","RURAL","121","0.0155","0.25222","0.5019","2","2","2","3"
"190079","LURBAN","39","0","0.19826","0.3497","0","1","1","2"
"140158","LURBAN","233","0.4648","0.59989","0.3883","108","3","3","2"
"140093","OURBAN","172","0","0.26387","0.4725","0","2","2","2"
"390145","LURBAN","267","0","0.19223","0.2134","0","1","3","1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450351","RURAL","54","0","0.21651","0.4739","0","1","1","2"
"140176","LURBAN","84","0","0.21245","0.4575","0","1","1","2"
"261316",NA,NA,NA,NA,NA,NA,NA,NA,NA
"440104","OURBAN","518","0.2616","0.40255","0.2347","136","2","6","1"
"220033","LURBAN","296","0","0.24576","0.3715","0","1","3","2"
"160064","RURAL","186","0.0997","0.23802","0.5141","19","1","2","3"
"160069","OURBAN","173","0","0.19487","0.5382","0","1","2","3"
"360011","RURAL","148","0","0.31738","0.3814","0","2","2","2"
"521304",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100161","LURBAN","208","0","0.23687","0.3904","0","1","3","2"
"150023","OURBAN","295","0.0607","0.24893","0.4917","18","1","3","2"
"450716","LURBAN","181","0","0.56345","0.1651","0","3","2","1"
"450469","OURBAN","138","0","0.15906","0.5732","0","1","2","3"
"420004","OURBAN","628","0.5686","0.48348","0.251","357","2","6","2"
"670021",NA,NA,NA,NA,NA,NA,NA,NA,NA
"280130","OURBAN","84","0","0.055604794","0.4115","0","1","1","2"
"410004","LURBAN","154","0.3981","0.30891","0.3532","61","2","2","2"
"240010","OURBAN","776","0.4673","0.1515","0.4094","363","1","6","2"
"50222","LURBAN","243","0","0.52376","0.3337","0","3","3","2"
"390008","RURAL","55","0","0.09988","0.3103","0","1","1","2"
"30010","OURBAN","374","0","0.23965","0.267","0","1","4","2"
"440161","LURBAN","509","0","0.3118","0.2791","0","2","6","2"
"41327",NA,NA,NA,NA,NA,NA,NA,NA,NA
"450558","OURBAN","190","0","0.27587","0.4239","0","2","2","2"
"370169","RURAL","33","0","0.19738","0.6878","0","1","1","3"
"40072","RURAL","49","0","0.28811","0.5299","0","2","1","3"
"450028","OURBAN","214","0","0.77198","0.3015","0","4","3","2"
"90005","LURBAN","169","0.0212","0.04767","0.3344","4","1","2","2"
"190274","LURBAN","115","0.3025","0.43762","0.2066","35","2","2","1"
"250042","RURAL","181","0","0.65181","0.4172","0","3","2","2"
"230029","LURBAN","361","0.2933","0.29657","0.4013","106","2","4","2"
"360348","LURBAN","87","0","0.15089","0.1621","0","1","1","1"
"50073","OURBAN","199","0.0254","0.1075","0.0727","5","1","2","1"
"50438","LURBAN","483","0.0736","0.3102","0.3222","36","2","6","2"
"420055","RURAL","94","0","0.41832","0.4763","0","2","1","2"
"450040","OURBAN","453","0.0139","0.22227","0.4585","6","1","6","2"
"230019","LURBAN","587","0.2706","0.21957","0.4188","159","1","6","2"
"371334",NA,NA,NA,NA,NA,NA,NA,NA,NA
"271313",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100001","LURBAN","501","0.5255","0.7047","0.2431","263","3","6","1"
"521300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"241346",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100220","OURBAN","349","0","0.20407","0.4813","0","1","4","2"
"450431","LURBAN","466","0","0.41216","0.2969","0","2","6","2"
"10023","OURBAN","363","0.1059","0.42653","0.2726","38","2","4","2"
"41305",NA,NA,NA,NA,NA,NA,NA,NA,NA
"300014","OURBAN","64","0","0.23314","0.5304","0","1","1","3"
"241364",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140166","OURBAN","196","0.0055","0.38368","0.4307","1","2","2","2"
"340142","RURAL","116","0","0.16843","0.5477","0","1","2","3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281321",NA,NA,NA,NA,NA,NA,NA,NA,NA
"231322",NA,NA,NA,NA,NA,NA,NA,NA,NA
"450888","LURBAN","16","0","0.01711","0.3631","0","1","1","2"
"260062","LURBAN","108","0","0.19441","0.3205","0","1","2","2"
"281313",NA,NA,NA,NA,NA,NA,NA,NA,NA
"240080","LURBAN","602","0.4994","0.40932","0.2229","301","2","6","1"
"490143","LURBAN","40","0","0.07153","0.5396","0","1","1","3"
"370032","LURBAN","233","0","0.29319","0.3695","0","2","3","2"
"330265","LURBAN","88","0","0.49437","0.2656","0","2","1","2"
"110001","OURBAN","255","0","0.37737","0.3982","0","2","3","2"
"380071","LURBAN","78","0","0.243","0.3461","0","1","1","2"
"670089","RURAL","32","0","0.384726471","0.2721","0","2","1","2"
"190204","LURBAN","156","0","0.26855","0.3161","0","2","2","2"
"250017","RURAL","39","0","0.23767","0.7045","0","1","1","3"
"231334",NA,NA,NA,NA,NA,NA,NA,NA,NA
"181311",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260186","RURAL","100","0","0.21076","0.5565","0","1","2","3"
"50724","OURBAN","47","0","0.22044","0.6685","0","1","1","3"
"360354","LURBAN","172","0","0.1262","0.4005","0","1","2","2"
"190167","RURAL","99","0","0.49731","0.4473","0","2","1","2"
"70040","LURBAN","23","0","0.047318269","0.604","0","1","1","3"
"390091","RURAL","127","0","0.21697","0.4602","0","1","2","2"
"10128","RURAL","35","0","0.27001","0.4456","0","2","1","2"
"511308",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110184","LURBAN","102","0","0.23567","0.381","0","1","2","2"
"141313",NA,NA,NA,NA,NA,NA,NA,NA,NA
"330397","LURBAN","167","0.6269","0.79855","0.1769","105","4","2","1"
"351328",NA,NA,NA,NA,NA,NA,NA,NA,NA
"520019","RURAL","59","0","0.25701","0.4397","0","2","1","2"
"110045","LURBAN","56","0","0.34731","0.3368","0","2","1","2"
"390132","LURBAN","131","0.0857","0.807","0.2489","11","4","2","1"
"390226","LURBAN","390","0.3363","0.34956","0.2012","131","2","4","1"
"441314",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30121","LURBAN","158","0.0535","0.29284","0.307","8","2","2","2"
"351325",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10040","OURBAN","261","0","0.28909","0.4656","0","2","3","2"
"320086","RURAL","26","0","0.4009","0.3505","0","2","1","2"
"150030","RURAL","90","0","0.25769","0.4797","0","2","1","2"
"131307",NA,NA,NA,NA,NA,NA,NA,NA,NA
"440130","RURAL","63","0","0.23947","0.5079","0","1","1","3"
"140013","OURBAN","142","0","0.07533","0.5483","0","1","2","3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340010","OURBAN","240","0","0.29342","0.5433","0","2","3","3"
"440110","OURBAN","40","0","0.10493","0.4095","0","1","1","2"
"110015","LURBAN","40","0","0.40869","0.2897","0","2","1","2"
"140135","OURBAN","275","0.0356","0.23607","0.533","10","1","3","3"
"131310",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131301",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50228","LURBAN","282","0.7089","0.87863","0.1845","200","4","3","1"
"171350",NA,NA,NA,NA,NA,NA,NA,NA,NA
"531304",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110089","RURAL","85","0","0.35295","0.4427","0","2","1","2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330241","OURBAN","543","0.4567","0.38077","0.3342","248","2","6","2"
"510077","RURAL","76","0","0.44434","0.4149","0","2","1","2"
"490023","LURBAN","97","0","0.15842","0.447","0","1","1","2"
"150024","LURBAN","255","0.6554","0.69295","0.1908","167","3","3","1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100246","OURBAN","311","0","0.34647","0.3276","0","2","4","2"
"100128","LURBAN","866","0.2344","0.40767","0.2617","203","2","6","2"
"360361","RURAL","10","0","0.247412796",NA,"0","1","1",NA
"360131","OURBAN","106","0.0607","0.21417","0.3966","6","1","2","2"
"140095","LURBAN","109","0.0196","0.75202","0.256","2","4","2","2"
"440184","OURBAN","80","0","0.27276","0.2483","0","2","1","1"
"240038","LURBAN","348","0.0435","0.32185","0.3225","15","2","4","2"
